0.538	0.078	0.328	0	0.056	6.1679	15
0.606	0.074	0.277	0	0.043	6.27963	18
0.607	0.074	0.277	0	0.042	6.28029	18
0.603	0.076	0.276	0	0.045	6.28742	18
0.606	0.074	0.277	0	0.043	6.27963	18
0.557	0.076	0.313	0	0.054	6.19675	25
0.606	0.074	0.274	0	0.046	6.28452	18
0.538	0.078	0.328	0	0.056	6.1679	15
0.538	0.078	0.328	0	0.056	6.1679	40
0.538	0.078	0.328	0	0.056	6.1679	95
0.619	0.067	0.272	0	0.042	6.26787	37.9
0.584	0.068	0.298	0	0.05	6.20646	45.9
0.543	0.07	0.329	0	0.058	6.13701	64.7
1	0	0	0	0	6.69	8.76
1	0	0	0	0	6.69	32.8
1	0	0	0	0	6.69	92.3
1	0	0	0	0	6.69	57
1	0	0	0	0	6.69	34
1	0	0	0	0	6.69	18.2
1	0	0	0	0	6.69	23.8
0.926	0.061	0.008	0	0.005	6.87639	7.2
0.496	0.087	0.351	0	0.066	6.13932	1000
0.6	0.07	0.27	0	0.06	6.2708	800
0.52	0.087	0.333	0	0.06	6.1845	415
0.5273	0.07352	0.33411	0	0.06507	6.13265	294
0.54571	0.07343	0.3201	0	0.06076	6.16727	294
0.55741	0.07434	0.30975	0	0.0581	6.19315	294
0.56754	0.07429	0.30174	0	0.05643	6.2151	294
0.57878	0.07392	0.29384	0	0.05346	6.23389	294
0.58793	0.07387	0.28674	0	0.05146	6.2513	294
0.59908	0.07382	0.27861	0	0.04849	6.27171	294
0.62001	0.07404	0.26211	0	0.04384	6.31331	294
0.5113	0.0767	0.3445	0	0.0675	6.11809	550
0.5279	0.0766	0.3326	0	0.0629	6.14804	550
0.5418	0.0764	0.3219	0	0.0599	6.17384	550
0.5553	0.0762	0.3113	0	0.0572	6.19921	550
0.5699	0.076	0.2992	0	0.0549	6.22776	550
0.5849	0.0758	0.2878	0	0.0515	6.25543	550
0.6033	0.0757	0.2744	0	0.0466	6.28901	550
0.6304	0.0754	0.2525	0	0.0417	6.34137	550
1	0	0	0	0	6.6	10.3
